ipo_symbol,upstox_symbol,name,instrument_key,match_type
CAPILLARY,CAPILLARY,Capillary Technologies India Limited,NSE_EQ|INE0ILV01024,exact
CORONA,CORONA,CORONA Remedies Limited,NSE_EQ|INE02ZQ01018,exact
EXCELSOFT,EXCELSOFT,Excelsoft Technologies Limited,NSE_EQ|INE606N01019,exact
HCC-RE1,HCC-RE1,Hindustan Construction-RE,NSE_EQ|INE549A20026,exact
JAYKAY,JAYKAY,Jaykay Enterprises Limited,NSE_EQ|INE903A01025,exact
KNAGRI,KNAGRI,KN Agri Resources Limited,NSE_EQ|INE0KNW01016,exact
KSR,KSR,KSR Footwear Limited,NSE_EQ|INE1SPP01016,exact
LEMERITE,LEMERITE,Le Merite Exports Limited,NSE_EQ|INE0G1L01017,exact
MEESHO,MEESHO,Meesho Limited,NSE_EQ|INE0VDM01015,exact
MODINATUR,MODINATUR,Modi Naturals Limited,NSE_EQ|INE537F01012,exact
MODIS,MODIS,Modis Navnirman Limited,NSE_EQ|INE0L0L01012,exact
PARKHOSPS,PARKHOSPS,Park Medi World Limited,NSE_EQ|INE119201023,exact
PAUSHAKLTD,PAUSHAKLTD,Paushak Limited,NSE_EQ|INE111F01024,exact
PINELABS,PINELABS,Pine Labs Limited,NSE_EQ|INE15B701018,exact
PWL,PWL,Physicswallah Limited,NSE_EQ|INE0LP301011,exact
SHILCTECH,SHILCTECH,Shilchar Technologies Limited,NSE_EQ|INE024F01011,exact
SHIVAUM,SHIVAUM,Shiv Aum Steels Limited,NSE_EQ|INE719F01016,exact
SKFINDUS,SKFINDUS,SKF India (Industrial) Limited,NSE_EQ|INE2J8701016,exact
SUDEEPPHRM,SUDEEPPHRM,Sudeep Pharma Limited,NSE_EQ|INE0QPI01025,exact
TENNIND,TENNIND,Tenneco Clean Air India Limited,NSE_EQ|INE19RI01016,exact
UTLSOLAR,UTLSOLAR,Fujiyama Power Systems Limited,NSE_EQ|INE12UR01024,exact
VIDYAWIRES,VIDYAWIRES,Vidya Wires Limited,NSE_EQ|INE14UN01029,exact
WAKEFIT,WAKEFIT,Wakefit Innovations Limited,NSE_EQ|INE0E7301029,exact
AGARWALEYE,AGARWALEYE,Dr. Agarwal's Health Care Limited,NSE_EQ|INE943P01029,exact
AHCL,AHCL,Anlon Healthcare Limited,NSE_EQ|INE0Y8W01017,exact
ALGOQUANT,ALGOQUANT,Algoquant Fintech Limited,NSE_EQ|INE598D01035,exact
AMANTA,AMANTA,Amanta Healthcare Limited,NSE_EQ|INE084K01015,exact
BUILDPRO,BUILDPRO,Shankara Buildpro Limited,NSE_EQ|INE24OJ01011,exact
EMMVEE,EMMVEE,Emmvee Photovoltaic Power Limited,NSE_EQ|INE1C6T01020,exact
GKSL,GKSL,Gujarat Kidney And Super Speciality Limited,NSE_EQ|INE0V0W01025,exact
HALDER,HALDER,Halder Venture Limited,NSE_EQ|INE115S01010,exact
ICICIAMC,ICICIAMC,ICICI Prudential Asset Management Company Limited,NSE_EQ|INE346A01027,exact
ITCHOTELS,ITCHOTELS,ITC Hotels Limited,NSE_EQ|INE379A01028,exact
KRISHNADEF,KRISHNADEF,Krishna Defence And Allied Industries Limited,NSE_EQ|INE0J5601015,exact
KSHINTL,KSHINTL,KSH International Limited,NSE_EQ|INE987S01020,exact
LOTUSDEV,LOTUSDEV,Sri Lotus Developers and Realty Limited,NSE_EQ|INE0V9Q01010,exact
NEPHROPLUS,NEPHROPLUS,Nephrocare Health Services Limited,NSE_EQ|INE428V01029,exact
ONESOURCE,ONESOURCE,Onesource Specialty Pharma Limited,NSE_EQ|INE013P01021,exact
RAYMONDREL,RAYMONDREL,Raymond Realty Limited,NSE_EQ|INE1SY401010,exact
RUDRA,RUDRA,Rudra Global Infra Products Limited,NSE_EQ|INE027T01023,exact
SILGO-RE1,SILGO-RE1,Silgo Retail Ltd-RE,NSE_EQ|INE01II20021,exact
TRUALT,TRUALT,TruAlt Bioenergy Limited,NSE_EQ|INE0MWH01014,exact
VINEET-RE,VINEET-RE,Vineet Laboratories Limited-RE,NSE_EQ|INE505Y20010,exact
3BBLACKBIO,3BBLACKBIO,3B Blackbio Dx Limited,NSE_EQ|INE994E01018,exact
AARNAV,AARNAV,Aarnav Fashions Limited,NSE_EQ|INE750R01016,exact
ABANSENT,ABANSENT,Abans Enterprises Limited,NSE_EQ|INE365O01028,exact
ABMKNO,ABMKNO,ABM Knowledgeware Limited,NSE_EQ|INE850B01026,exact
ACSTECH,ACSTECH,ACS Technologies Limited,NSE_EQ|INE366C01021,exact
ADVAIT,ADVAIT,Advait Energy Transitions Limited,NSE_EQ|INE0ALI01010,exact
AEPL,AEPL,Artemis Electricals and Projects Limited,NSE_EQ|INE757T01025,exact
AKCAPIT,AKCAPIT,AK Capital Services Limited,NSE_EQ|INE701G01012,exact
AMAGI,AMAGI,Amagi Media Labs Limited,NSE_EQ|INE121R01077,exact
AMBALALSA,AMBALALSA,Ambalal Sarabhai Enterprises Limited,NSE_EQ|INE432A01017,exact
AMIRCHAND,AMIRCHAND,Amir Chand Jagdish Kumar (Exports) Limited,NSE_EQ|INE05TO01019,exact
ARIHANT,ARIHANT,Arihant Foundations & Housing Limited,NSE_EQ|INE413D01011,exact
ARIS,ARIS,Arisinfra Solutions Limited,NSE_EQ|INE0H9P01028,exact
ASHIKA,ASHIKA,Ashika Credit Capital Limited,NSE_EQ|INE094B01013,exact
ASTAR,ASTAR,Asian Star Company Limited,NSE_EQ|INE194D01017,exact
AVAILFC,AVAILFC,Available Finance Limited,NSE_EQ|INE325G01010,exact
AYE,AYE,Aye Finance Limited,NSE_EQ|INE501X01029,exact
BAJAJST,BAJAJST,Bajaj Steel Industries Limited,NSE_EQ|INE704G01024,exact
BATLIBOI,BATLIBOI,Batliboi Limited,NSE_EQ|INE177C01022,exact
BCPL,BCPL,BCPL Railway Infrastructure Limited,NSE_EQ|INE00SW01015,exact
BEEKAY,BEEKAY,Beekay Steel Industries Limited,NSE_EQ|INE213D01015,exact
BENGALASM,BENGALASM,Bengal & Assam Company Limited,NSE_EQ|INE083K01017,exact
BHARATCOAL,BHARATCOAL,Bharat Coking Coal Limited,NSE_EQ|INE05XR01022,exact
BI,BI,Bilcare Limited,NSE_EQ|INE986A01012,exact
BIMETAL,BIMETAL,Bimetal Bearings Limited,NSE_EQ|INE469A01019,exact
BIRLAPREC,BIRLAPREC,Birla Precision Technologies Limited,NSE_EQ|INE372E01025,exact
BLACKROSE,BLACKROSE,Black Rose Inds. Limited,NSE_EQ|INE761G01016,exact
BLIL,BLIL,Balmer Lawrie Investments Limited,NSE_EQ|INE525F01025,exact
BNAGROCHEM,BNAGROCHEM,BN Agrochem Limited,NSE_EQ|INE00HZ01011,exact
BNALTD,BNALTD,B & A Limited,NSE_EQ|INE489D01011,exact
BONLON,BONLON,Bonlon Industries Limited,NSE_EQ|INE0B9A01018,exact
BTTL,BTTL,Bhilwara Technical Textiles Limited,NSE_EQ|INE274K01012,exact
CEINSYS,CEINSYS,Ceinsys Tech Limited,NSE_EQ|INE016Q01014,exact
CLEANMAX,CLEANMAX,Clean Max Enviro Energy Solutions Limited,NSE_EQ|INE647U01026,exact
CMPDI,CMPDI,Central Mine Planning & Design Institute Limited,NSE_EQ|INE05HV01027,exact
COCKERILL,COCKERILL,John Cockerill India Limited,NSE_EQ|INE515A01019,exact
COMFINTE,COMFINTE,Comfort Intech Limited,NSE_EQ|INE819A01049,exact
DAICHI,DAICHI,Dai-Ichi Karkaria Limited,NSE_EQ|INE928C01010,exact
DCMSIL,DCMSIL,DCM Shriram International Limited,NSE_EQ|INE0OU201013,exact
DECNGOLD,DECNGOLD,Deccan Gold Mines Limited,NSE_EQ|INE945F01025,exact
DISAQ,DISAQ,Disa India Limited,NSE_EQ|INE131C01011,exact
DRAGARWQ,DRAGARWQ,Dr Agarwals Eye Hospital Limited,NSE_EQ|INE934C01018,exact
